No, RawRotation, Rotation, CompRotation, ElecCompRotation, Mech_deg, Mech_Comp_deg
924,9509,-6874,7725.5,807.5,28.9855,0
925,9792,-6591,8012.5,1094.5,35.2924,0
926,10080,-6299,8298.5,1380.5,41.6213,0
927,10507,-5870,8727.5,1809.5,51.1366,0
928,11208,-5164,9433.5,209.5,66.7391,0
929,11959,-4424,10173.5,955.5,82.913,0
930,12319,-4064,10533.5,1311.5,90.7362,0
931,12513,-3870,10727.5,1507.5,95.0433,0
932,12759,-3624,10973.5,1751.5,100.405,0
933,13144,-3239,11358.5,2138.5,108.91,0
934,13743,-2640,11957.5,438.5,122.227,0
935,14351,-2027,12570.5,1040.5,135.566,0
936,14570,-1813,12784.5,1254.5,140.203,0
937,14496,-1887,12710.5,1178.5,138.489,0
938,14323,-2060,12537.5,1004.5,134.665,0
939,14101,-2282,12315.5,779.5,129.72,0
940,13844,-2539,12058.5,530.5,124.249,0
941,13689,-2694,11903.5,370.5,120.733,0
942,13728,-2655,11942.5,413.5,121.677,0
943,14060,-2323,12274.5,749.5,129.061,0
944,14403,-1980,12617.5,1090.5,136.555,0
945,14693,-1690,12907.5,1379.5,142.906,0
946,14801,-1582,13014.5,1484.5,145.213,0
947,14636,-1747,12847.5,1317.5,141.543,0
948,14252,-2131,12461.5,931.5,133.061,0
949,13903,-2485,12112.5,582.5,125.391,0
950,13721,-2666,11931.5,401.5,121.414,0
951,13436,-2952,11645.5,115.5,115.129,0
952,13158,-3225,11372.5,2148.5,109.13,0
953,13217,-3163,11434.5,2210.5,110.492,0
954,13418,-2960,11637.5,107.5,115.019,0
955,13647,-2736,11861.5,335.5,119.963,0
956,13843,-2540,12057.5,529.5,124.227,0
957,13900,-2483,12114.5,583.5,125.413,0
958,13916,-2467,12133.5,603.5,125.853,0
959,13947,-2436,12158.5,628.5,126.402,0
960,14096,-2287,12312.5,782.5,129.786,0
961,14472,-1911,12690.5,1160.5,138.093,0
962,14690,-1693,12905.5,1375.5,142.818,0
963,14952,-1431,13170.5,1640.5,148.641,0
964,15393,-990,13614.5,2084.5,158.398,0
965,16039,-335,14262.5,426.5,172.814,0
966,451,461,15059.5,1223.5,190.372,0
967,1257,1265,15863.5,2027.5,207.997,0
968,1999,2007,221.5,221.5,224.346,0
969,2480,2484,698.5,698.5,234.675,0
970,2592,2592,806.5,806.5,236.894,0
971,2295,2288,502.5,502.5,230.17,0
972,1975,1973,187.5,187.5,223.313,0
973,1939,1939,153.5,153.5,222.632,0
974,1936,1936,150.5,150.5,222.544,0
975,1762,1762,16360.5,215.5,218.655,0
976,1643,1643,16241.5,103.5,216.193,0
977,1902,1902,116.5,118.5,221.841,0
978,2345,2345,559.5,569.5,231.752,0
979,2936,2936,1150.5,1155.5,244.629,0
980,3481,3481,1695.5,1701.5,256.628,0
981,4016,4016,2230.5,2238.5,268.429,0
982,4644,4644,2858.5,562.5,282.273,0
983,5110,5110,3324.5,1021.5,292.36,0
984,5124,5124,3337.5,1031.5,292.58,0
985,4931,4930,3144.5,838.5,288.272,0
986,4710,4706,2920.5,614.5,283.306,0
987,4388,4380,2594.5,288.5,276.12,0
988,4119,4119,2333.5,27.5,270.516,0
989,4198,4198,2412.5,106.5,272.252,0
990,4571,4571,2785.5,486.5,280.603,0
991,5152,5157,3371.5,1065.5,293.481,0
992,5618,5618,3837.5,1531.5,303.567,0
993,6244,6252,4466.5,2160.5,317.61,0
994,7043,7043,5268.5,656.5,335.014,0
995,7720,7720,5940.5,1328.5,349.781,0
996,7918,7918,6132.5,1520.5,354.001,0
997,7771,7771,5985.5,1370.5,350.704,0
998,7556,7556,5767.5,1155.5,345.98,0
999,7379,7379,5593.5,981.5,342.156,0
