No, RawRotation, Rotation, CompRotation, ElecCompRotation, Mech_deg, Mech_Comp_deg
202,13720,-2663,11934.5,409.5,121.59,0
203,14068,-2315,12282.5,754.5,129.171,0
204,14350,-2033,12568.5,1038.5,135.412,0
205,14618,-1760,12837.5,1307.5,141.367,0
206,14698,-1685,12911.5,1381.5,142.95,0
207,14824,-1559,13038.5,1513.5,145.85,0
208,14986,-1397,13200.5,1670.5,149.3,0
209,15134,-1249,13348.5,1820.5,152.597,0
210,15337,-1046,13551.5,2021.5,157.014,0
211,15452,-931,13667.5,2137.5,159.563,0
212,15541,-842,13755.5,2225.5,161.497,0
213,15546,-835,13762.5,2232.5,161.651,0
214,15682,-697,13900.5,64.5,164.793,0
215,16037,-342,14255.5,419.5,172.594,0
216,120,128,14726.5,890.5,182.967,0
217,780,788,15386.5,1550.5,197.536,0
218,1318,1325,15923.5,2087.5,209.249,0
219,1810,1815,29.5,29.5,219.995,0
220,2284,2292,506.5,506.5,230.499,0
221,2538,2538,752.5,752.5,235.773,0
222,2574,2574,788.5,788.5,236.63,0
223,2655,2655,869.5,869.5,238.345,0
224,2679,2678,892.5,892.5,238.85,0
225,2679,2679,893.5,894.5,238.894,0
226,2485,2485,696.5,696.5,234.543,0
227,1921,1912,126.5,126.5,221.775,0
228,1359,1352,15950.5,2114.5,209.711,0
229,899,899,15497.5,1661.5,199.624,0
230,448,448,15046.5,1210.5,189.713,0
231,19,19,14617.5,774.5,180.264,0
232,16008,-379,14218.5,382.5,171.671,0
233,15736,-650,13947.5,111.5,165.716,0
234,15579,-805,13792.5,2262.5,162.31,0
235,15465,-919,13678.5,2148.5,159.805,0
236,15410,-975,13622.5,2092.5,158.574,0
237,15511,-872,13726.5,2196.5,160.859,0
238,15835,-542,14055.5,219.5,168.199,0
239,16253,-130,14467.5,635.5,177.231,0
240,300,300,14907.5,1071.5,186.79,0
241,831,831,15434.5,1598.5,198.371,0
242,1233,1233,15833.5,1997.5,207.14,0
243,1662,1662,16264.5,122.5,216.611,0
244,2234,2234,457.5,457.5,229.291,0
