time, angle [deg], U Currrent [A], V Current [A], W Current [A] , Id[A], Iq[A]
0.302,10.724,-0.0232515,0.0937499,-0.0704983,0.104881,0.0571606
0.303,10.724,-0.0604576,0.0937499,-0.0332923,0.0669543,0.0952347
0.305,10.68,-0.0445121,0.0710276,-0.0265155,0.0522177,0.0705888
0.305,10.658,-0.0126212,0.112884,-0.100263,0.140911,0.0556689
0.306,10.702,-0.0338818,0.0172117,0.0166701,-0.0107537,0.0400808
0.307,10.5921,-0.0132856,0.111688,-0.0984029,0.139202,0.0543757
0.307,10.6361,0.0146189,0.065048,-0.0796669,0.103411,0.00990123
0.308,10.6361,-0.0465053,0.143978,-0.0974727,0.149756,0.0998329
0.308,10.68,-0.0338818,0.130823,-0.0969412,0.143814,0.0835331
0.309,10.658,-0.0285667,0.0829867,-0.05442,0.0842281,0.0597496
0.309,10.68,-0.0571356,0.112884,-0.0557488,0.0966543,0.0988597
0.31,10.6361,-0.0345462,0.151153,-0.116607,0.171312,0.0910516
0.311,10.6361,-0.0318887,0.108101,-0.0762121,0.115286,0.0722502
0.311,10.6141,-0.0332174,0.0698317,-0.0366142,0.062086,0.058871
0.312,10.658,-0.0498273,0.0997294,-0.0499021,0.0860434,0.0866918
0.314,10.6361,-0.0146144,0.0554808,-0.0408664,0.061215,0.0348494
0.315,10.68,0.000666629,0.130823,-0.13149,0.179303,0.0474874
0.315,10.658,-0.0551424,0.152349,-0.097207,0.153102,0.110725
0.316,10.702,-0.076403,0.148762,-0.0723586,0.126612,0.131044
0.316,10.7459,-0.0126212,0.14039,-0.127769,0.179402,0.0633144
0.317,10.68,-0.00132655,0.0937499,-0.0924233,0.12678,0.0354915
0.318,10.702,-0.0225871,0.124843,-0.102256,0.148215,0.0673122
0.318,10.7679,-0.0332174,0.11408,-0.0808629,0.122708,0.0748287
0.319,10.702,0.0146189,0.14637,-0.160989,0.214713,0.0381262
0.319,10.7459,-0.0418546,0.154741,-0.112887,0.170168,0.0973809
0.32,10.702,-0.0345462,0.0985335,-0.0639873,0.100514,0.0699549
0.32,10.8119,0.0039886,0.111688,-0.115677,0.156892,0.0354446
0.321,10.7459,-0.0870333,0.145174,-0.0581406,0.112194,0.139439
0.322,10.7459,-0.0438477,0.0734194,-0.0295717,0.0567181,0.0706543
0.322,10.7679,0.0033242,0.170288,-0.173612,0.236168,0.0580927
0.323,10.7679,-0.039197,0.0746153,-0.0354183,0.0626295,0.0667702
0.323,10.724,-0.0398614,0.078203,-0.0383417,0.0672303,0.0685862
0.325,10.724,-0.0445121,0.110493,-0.0659804,0.106751,0.084543
0.326,10.7459,0.0192696,0.0829867,-0.102256,0.132674,0.0102364
0.326,10.7459,-0.0312243,0.121256,-0.0900315,0.134706,0.0747247
0.327,10.724,-0.0279023,0.0925539,-0.0646517,0.0987669,0.0613979
0.327,10.7459,0.0192696,0.169092,-0.188362,0.250189,0.0429983
0.328,10.7459,-0.0438477,0.0949458,-0.051098,0.0859435,0.0787292
0.329,10.724,-0.0531492,0.0590685,-0.00591926,0.0274275,0.0748111
0.329,10.7459,0.00664617,0.127235,-0.133881,0.180606,0.0392271
0.33,10.68,-0.0378682,0.129627,-0.0917589,0.138616,0.0862696
0.33,10.68,-0.039197,0.111688,-0.0724915,0.113252,0.080248
0.331,10.7459,-0.0225871,0.133215,-0.110628,0.159088,0.0720139
