time [sec], Angle [deg], Uph-Current [A], Vph-Current [A], Wph-Current [A]
3.822,11737.1,0.857678,-0.873914,0.0162356
3.842,11806.1,0.585026,1.21813,-1.80316
3.862,11873.3,-1.36261,0.0255605,1.33704
3.882,11942.9,1.55482,-1.25303,-0.301786
3.902,12009.8,0.0200525,1.22411,-1.24417
3.922,12077.5,-1.28135,-0.00883115,1.29018
3.943,12145.6,1.52197,-1.22684,-0.295125
3.963,12205.8,0.0114413,0.0524449,-0.0638862
3.983,12270.2,-1.32941,1.1572,0.172216
4.003,12343.8,0.22282,-1.18831,0.965488
4.023,12415.5,-0.0629213,1.14367,-1.08075
4.043,12489,0.184172,-1.29068,1.1065
4.063,12563.3,1.31301,0.146397,-1.45941
4.084,12636.1,-1.07,-0.0783707,1.14838
4.104,12710.8,1.28436,0.165847,-1.45021
4.124,12783.5,-1.22761,0.873423,0.354191
4.144,12853.4,0.0738811,-0.920697,0.846816
4.164,12923,-0.141802,1.05917,-0.917371
4.185,12995.7,0.320621,-1.23526,0.914639
4.205,13072.7,1.0838,0.186392,-1.27019
4.225,13142.8,-0.780134,-0.214748,0.994882
4.245,13215.7,1.21513,0.281923,-1.49705
4.265,13291.8,-1.00957,0.763962,0.245612
4.286,13365.6,1.1969,-0.577413,-0.619483
4.306,13436,-1.27202,0.990711,0.281313
4.326,13511,0.480505,-0.832005,0.3515
4.346,13585.8,-0.321627,0.911984,-0.590357
4.366,13661.6,0.451922,-0.869467,0.417545
4.387,13742.3,-0.230397,0.880227,-0.649829
4.407,13816.8,0.615412,-0.698982,0.0835698
4.427,13884.5,-0.417647,1.21287,-0.795226
4.447,13955.3,-0.835139,-0.363362,1.1985
4.467,14027.4,0.786931,-0.10983,-0.677101
4.488,14100.8,-0.778669,0.0769235,0.701745
4.508,14174.8,1.42476,-0.647324,-0.777437
4.528,14249,-0.541728,0.661816,-0.120088
4.548,14320.5,0.859778,-0.283802,-0.575977
4.568,14394.6,-0.745257,1.17864,-0.433383
4.588,14470.5,0.323443,-0.640467,0.317024
4.609,14539.2,-0.223245,0.704631,-0.481386
4.629,14615.3,-0.423371,-0.951581,1.37495
4.649,14691,0.368479,0.928661,-1.29714
4.669,14767.9,-0.151361,-0.790259,0.94162
4.689,14839,0.546606,0.678915,-1.22552
4.71,14911.5,-1.28381,-0.0157454,1.29956
4.73,14986,1.61861,0.380381,-1.99899
4.75,15059.9,-1.32478,0.00216648,1.32261
4.77,15133.7,1.51385,-1.19489,-0.318962
4.79,15206.1,-1.2968,1.08702,0.20978
4.81,15278.3,1.5485,-1.21088,-0.337626
4.831,15354.1,-0.0025003,1.16333,-1.16083
4.851,15425,0.207006,-1.16038,0.953377
4.871,15500.4,-0.0371534,1.24417,-1.20702
4.891,15575.5,0.200296,-1.26231,1.06202
4.911,15650.8,1.23495,0.169196,-1.40415
4.931,15720.7,-1.10484,-0.0412324,1.14607
4.952,15793.5,1.39326,0.118576,-1.51184
4.972,15871.9,-1.2833,1.07969,0.203608
4.992,15943.1,1.30322,-0.980959,-0.322258
5.012,16012.4,-1.3052,1.06021,0.244989
5.032,16086.5,0.887251,0.124972,-1.01222
5.052,16145.3,1.33865,0.0570164,-1.39566
5.072,16221.4,-1.26191,1.02509,0.236823
5.093,16294.5,1.43195,-0.908998,-0.522957
5.113,16371,-0.162701,1.03444,-0.87174
5.133,16442.3,0.391865,-0.937849,0.545984
5.153,16513.8,-0.205675,1.22661,-1.02094
5.173,16591.6,-0.741006,-0.191509,0.932515
5.194,16664.7,0.858908,0.25886,-1.11777
5.214,16733.8,-0.910211,0.602333,0.307878
5.234,16796.5,0.508391,-0.834543,0.326152
5.254,16868.5,0.697075,0.326391,-1.02347
5.274,16936.6,-0.783834,-0.380008,1.16384
5.294,17008.6,1.43892,-0.800204,-0.638712
5.315,17081.4,-0.399865,0.804548,-0.404683
5.335,17147.1,-0.563156,-0.349106,0.912262
5.355,17213.1,0.999277,-0.417386,-0.581891
5.375,17285.9,-0.510108,0.693913,-0.183806
5.395,17353.7,-0.0245111,0.095416,-0.0709049
5.416,17424.9,0.145366,0.54226,-0.687626
5.436,17497.3,-0.643217,-0.695978,1.33919
5.456,17572.8,0.604073,0.209584,-0.813657
5.476,17646.2,-0.403644,-0.235396,0.63904
5.496,17719.2,1.60197,-0.014525,-1.58745
5.517,17791.4,-0.765165,0.461744,0.303421
5.537,17867,1.26606,-0.00119944,-1.26486
5.557,17943.3,-0.814279,0.433607,0.380672
5.577,18022.5,1.23051,-0.246242,-0.984265
5.597,18098.6,-0.482539,-0.0418736,0.524413
5.618,18163,0.893244,-0.895642,0.00239783
5.638,18233.7,0.553265,1.18785,-1.74111
5.658,18302.9,-1.27587,0.0011399,1.27473
5.678,18368.6,1.51574,-1.19217,-0.323565
5.698,18439.4,-0.00728013,1.18759,-1.18031
5.718,18506.2,-1.28277,-0.0381879,1.32095
5.739,18571.6,1.46077,-1.12009,-0.340678
5.759,18643.4,-0.00538471,1.1706,-1.16522
5.779,18709.8,-1.19786,-0.0166764,1.21453
5.799,18777,1.41699,-1.0981,-0.318885
5.819,18845.9,-0.0459357,1.1584,-1.11246
5.84,18913.2,-1.22052,-0.0355868,1.2561
5.86,18980.8,1.49328,-1.12907,-0.364212
5.88,19049.5,-0.0640149,1.11422,-1.05021
5.9,19118.1,-1.10385,-0.0273096,1.13116
5.92,19184.5,1.35167,-0.998718,-0.352953
5.941,19250.9,-0.0975251,1.10779,-1.01026
5.961,19319.8,-1.0108,-0.0818038,1.09261
5.981,19388,1.29551,-0.885761,-0.409747
