time, angle [deg], U Currrent [A], V Current [A], W Current [A] , Id[A], Iq[A]
0.394,344.881,1.26301,2.36956,-3.63258,-4.50238,0.366449
0.395,345.079,1.26301,2.36956,-3.63258,-4.49347,0.46306
0.395,345.167,1.26301,2.36956,-3.63258,-4.48824,0.511289
0.396,345.298,1.26301,2.36956,-3.63258,-4.47942,0.583519
0.396,345.364,1.26301,2.36956,-3.63258,-4.47622,0.607563
0.396,345.452,1.26301,2.36956,-3.63258,-4.46944,0.655598
0.397,345.518,1.26301,2.36956,-3.63258,-4.46766,0.667596
0.397,345.628,1.26301,2.36956,-3.63258,-4.45633,0.739474
0.398,345.606,1.26301,2.36956,-3.63258,-4.44384,0.811161
0.398,345.738,1.26301,2.36956,-3.63258,-4.43716,0.846927
0.399,345.87,1.26301,2.36956,-3.63258,-4.39946,1.06029
0.4,346.199,1.26301,2.36956,-3.63258,-4.3882,1.08385
0.401,346.243,1.26301,2.36956,-3.63258,-4.38238,1.13088
0.401,346.375,1.26301,2.36956,-3.63258,-4.36417,1.15435
0.401,346.397,1.26301,2.36956,-3.63258,-4.35784,1.18948
0.402,346.507,1.26301,2.36956,-3.63258,-4.34812,1.22455
0.402,346.529,1.26301,2.36956,-3.63258,-4.33812,1.31765
0.403,346.749,1.26301,2.36956,-3.63258,-4.31368,1.34083
0.403,346.837,1.26301,2.36956,-3.63258,-4.29903,1.38708
0.404,346.837,1.26301,2.36956,-3.63258,-4.28772,1.42166
0.404,346.881,1.26301,2.36956,-3.63258,-4.28389,1.43316
0.404,346.969,1.26301,2.36956,-3.63258,-4.27613,1.45614
0.405,346.991,1.26301,2.36956,-3.63258,-4.26025,1.50198
0.405,347.1,1.26301,2.36956,-3.63258,-4.25212,1.52484
0.406,347.188,1.26301,2.36956,-3.63258,-4.24387,1.54765
0.406,347.166,1.26301,2.36956,-3.63258,-4.2355,1.59313
0.407,347.144,1.26301,2.36956,-3.63258,-4.22701,1.59313
0.407,347.232,1.26301,2.36956,-3.63258,-4.21404,1.62713
0.408,347.32,1.26301,2.36956,-3.63258,-4.19182,1.67229
0.409,347.43,1.26301,2.36956,-3.63258,-4.19182,1.68355
0.409,347.452,1.26301,2.36956,-3.63258,-4.18728,1.69479
0.41,347.54,1.26301,2.36956,-3.63258,-4.16884,1.73966
0.411,347.43,1.26301,2.36956,-3.63258,-4.16884,1.73966
0.412,347.54,1.26301,2.36956,-3.63258,-4.17812,1.73966
0.413,347.518,1.26301,2.36956,-3.63258,-4.16884,1.73966
0.413,347.496,1.26301,2.36956,-3.63258,-4.17812,1.71725
0.414,347.474,1.26301,2.36956,-3.63258,-4.19632,1.67229
0.415,347.43,1.26301,2.36956,-3.63258,-4.2008,1.66101
0.416,347.32,1.26301,2.36956,-3.63258,-4.22701,1.59313
0.417,347.166,1.26301,2.36956,-3.63258,-4.26427,1.46762
0.419,347.013,1.26301,2.36956,-3.63258,-4.27613,1.43316
0.419,346.991,1.26301,2.36956,-3.63258,-4.32434,1.30604
0.421,346.683,1.26301,2.36956,-3.63258,-4.32434,1.30604
0.421,346.573,1.26301,2.36956,-3.63258,-4.36728,1.11913
0.424,346.243,1.26301,2.36956,-3.63258,-4.39107,1.03669
0.424,346.134,1.26301,2.36956,-3.63258,-4.41022,1.00125
0.425,346.09,1.26301,2.36956,-3.63258,-4.41283,0.965736
0.425,346.002,1.26301,2.36956,-3.63258,-4.41795,0.930162
0.426,345.936,1.26301,2.36956,-3.63258,-4.42539,0.906413
0.426,345.936,1.26301,2.36956,-3.63258,-4.43942,0.835011
0.428,345.694,1.26301,2.36956,-3.63258,-4.45229,0.763392
0.428,345.606,1.26301,2.36956,-3.63258,-4.4583,0.727507
0.429,345.606,1.26301,2.36956,-3.63258,-4.46023,0.715535
0.429,345.562,1.26301,2.36956,-3.63258,-4.46401,0.691575
0.43,345.474,1.26301,2.36956,-3.63258,-4.47118,0.643597
0.43,345.452,1.26301,2.36956,-3.63258,-4.48097,0.571491
0.431,345.32,1.26301,2.36956,-3.63258,-4.47942,0.583519
0.432,345.298,1.26301,2.36956,-3.63258,-4.49221,0.487182
0.433,345.189,1.26301,2.36956,-3.63258,-4.49221,0.475123
0.435,345.079,1.26301,2.36956,-3.63258,-4.49469,0.450995
0.435,345.079,1.26301,2.36956,-3.63258,-4.50138,0.378535
0.437,345.057,1.26301,2.36956,-3.63258,-4.50034,0.390619
0.438,345.013,1.26301,2.36956,-3.63258,-4.50334,0.35436
0.439,344.991,1.26301,2.36956,-3.63258,-4.49818,0.438926
0.44,345.101,1.26301,2.36956,-3.63258,-4.49818,0.414779
0.442,345.123,1.26301,2.36956,-3.63258,-4.49469,0.450995
0.442,345.079,1.26301,2.36956,-3.63258,-4.49092,0.487182
0.444,345.233,1.26301,2.36956,-3.63258,-4.48397,0.547422
0.445,345.32,1.26301,2.36956,-3.63258,-4.47783,0.595544
0.445,345.298,1.26301,2.36956,-3.63258,-4.47457,0.595544
0.447,345.386,1.26301,2.36956,-3.63258,-4.47118,0.643597
0.448,345.518,1.26301,2.36956,-3.63258,-4.45633,0.739474
0.451,345.716,1.26301,2.36956,-3.63258,-4.43487,0.858837
0.451,345.848,1.26301,2.36956,-3.63258,-4.44384,0.811161
0.452,345.87,1.26301,2.36956,-3.63258,-4.43255,0.87074
0.452,345.87,1.26301,2.36956,-3.63258,-4.42539,0.906413
0.452,345.914,1.26301,2.36956,-3.63258,-4.43019,0.882638
0.453,345.936,1.26301,2.36956,-3.63258,-4.41283,0.965736
0.454,346.046,1.26301,2.36956,-3.63258,-4.37943,1.10738
0.459,346.287,1.26301,2.36956,-3.63258,-4.37943,1.10738
0.459,346.375,1.26301,2.36956,-3.63258,-4.37342,1.14262
0.46,346.375,1.26301,2.36956,-3.63258,-4.37037,1.14262
0.461,346.419,1.26301,2.36956,-3.63258,-4.36417,1.16607
0.464,346.441,1.26301,2.36956,-3.63258,-4.35463,1.20118
0.465,346.441,1.26301,2.36956,-3.63258,-4.36417,1.16607
0.465,346.529,1.26301,2.36956,-3.63258,-4.36417,1.16607
0.466,346.485,1.26301,2.36956,-3.63258,-4.36417,1.16607
0.466,346.463,1.26301,2.36956,-3.63258,-4.36417,1.16607
0.467,346.441,1.26301,2.36956,-3.63258,-4.36417,1.16607
0.467,346.397,1.26301,2.36956,-3.63258,-4.37037,1.16607
0.47,346.419,1.26301,2.36956,-3.63258,-4.35463,1.20118
0.472,346.463,1.26301,2.36956,-3.63258,-4.34482,1.23622
0.474,346.573,1.26301,2.36956,-3.63258,-4.34482,1.23622
0.475,346.595,1.26301,2.36956,-3.63258,-4.34148,1.24788
0.476,346.595,1.26301,2.36956,-3.63258,-4.35139,1.21287
0.476,346.661,1.26301,2.36956,-3.63258,-4.33812,1.25953
0.476,346.595,1.26301,2.36956,-3.63258,-4.33129,1.2828
0.477,346.617,1.26301,2.36956,-3.63258,-4.34148,1.24788
0.477,346.595,1.26301,2.36956,-3.63258,-4.33812,1.27117
0.479,346.639,1.26301,2.36956,-3.63258,-4.32783,1.29443
0.48,346.617,1.26301,2.36956,-3.63258,-4.33812,1.25953
0.482,346.551,1.26301,2.36956,-3.63258,-4.34482,1.23622
0.482,346.573,1.26301,2.36956,-3.63258,-4.34148,1.24788
0.483,346.551,1.26301,2.36956,-3.63258,-4.34482,1.20118
0.485,346.507,1.26301,2.36956,-3.63258,-4.35463,1.21287
0.486,346.353,1.26301,2.36956,-3.63258,-4.37037,1.14262
0.487,346.419,1.26301,2.36956,-3.63258,-4.37644,1.11913
0.488,346.331,1.26301,2.36956,-3.63258,-4.37037,1.14262
0.488,346.353,1.26301,2.36956,-3.63258,-4.36728,1.15435
0.488,346.309,1.26301,2.36956,-3.63258,-4.37943,1.10738
0.489,346.243,1.26301,2.36956,-3.63258,-4.3939,1.04849
0.491,346.221,1.26301,2.36956,-3.63258,-4.4022,1.01307
0.492,346.134,1.26301,2.36956,-3.63258,-4.4154,0.953885
0.494,345.958,1.26301,2.36956,-3.63258,-4.42294,0.918291
0.496,345.936,1.26301,2.36956,-3.63258,-4.42539,0.906413
0.498,345.892,1.26301,2.36956,-3.63258,-4.43255,0.87074
