time, angle [deg], U Currrent [A], V Current [A], W Current [A] , Id[A], Iq[A]
0.293,107.613,0.0677704,0.881854,-0.949624,0.777463,1.03904
0.294,107.635,0.0624552,0.881854,-0.944309,0.772745,1.03738
0.295,107.657,0.0950105,-0.269806,0.174796,-0.0779307,-0.326041
0.296,107.635,0.22191,-0.309271,0.0873617,0.0742579,-0.383813
0.296,107.635,0.22191,-0.00192284,-0.219987,0.311761,-0.0211341
0.297,107.657,0.349473,-0.0832446,-0.266229,0.427406,-0.131387
0.298,107.657,-0.352791,0.188227,0.164564,-0.351306,0.253046
0.298,107.591,-0.0126212,-0.623795,0.636417,-0.507975,-0.732303
0.301,107.723,0.0305643,0.179855,-0.21042,0.186132,0.208152
0.302,107.635,-0.131548,-0.0401919,0.17174,-0.217028,-0.0362442
0.302,107.635,0.00930374,-0.864173,0.854869,-0.663185,-1.01876
0.303,107.701,0.412591,-0.0210574,-0.391533,0.56586,-0.061443
0.304,107.613,0.0465098,0.657023,-0.703533,0.581907,0.768235
0.304,107.635,-0.225892,0.197794,0.0280976,-0.165388,0.252162
0.308,107.613,0.0730855,0.531452,-0.604538,0.52074,0.618126
0.309,107.657,-0.0524848,-0.623795,0.67628,-0.558342,-0.733133
0.311,107.591,0.2053,0.0746153,-0.279915,0.347588,0.0724622
0.315,107.657,-0.272399,0.256393,0.0160056,-0.186434,0.324711
0.315,107.547,0.209951,0.764655,-0.974605,0.892389,0.884462
0.317,107.591,0.330206,-0.882112,0.551906,-0.218556,-1.06898
0.32,107.547,-0.263098,0.184639,0.0784587,-0.229414,0.238405
0.32,107.591,0.0617908,0.762263,-0.824054,0.688555,0.892403
0.324,107.635,-0.076403,0.781397,-0.704994,0.506185,0.925858
0.325,107.679,-0.307612,0.149958,0.157654,-0.317358,0.203104
0.325,107.613,-0.171411,-0.0174697,0.188881,-0.255573,-0.0039837
0.326,107.591,-0.0225871,-0.575959,0.598546,-0.48445,-0.673831
0.329,107.679,-0.352791,1.06961,-0.716821,0.332221,1.29306
0.33,107.701,0.0252492,-0.7685,0.743251,-0.565804,-0.907479
0.33,107.657,0.10697,0.207361,-0.314331,0.313264,0.233915
0.333,107.657,-0.00199095,-0.776872,0.778863,-0.608344,-0.913278
0.334,107.613,0.13421,0.207361,-0.341571,0.351086,0.233282
